Location ID,location_name,Care Home?,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Location Local Authority,Location Region,Location ONSPD CCG Code,Location ONSPD CCG,Location Commissioning CCG Code,Location Commissioning CCG Name,Service / Population Group,Domain,Latest Rating,Publication Date,Report Type,Inherited Rating (Y/N),URL,Provider ID,provider_name,Brand ID,Brand Name,std_name
1-2192351393,Stanley Grange,Y,Social Care Org,Residential social care,Roach Road,Samlesbury,Preston,PR5 0RB,Lancashire,North West,E38000227,NHS Greater Preston CCG,NA,NA,Overall,Safe,Good,2017-07-19T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2192351393,1-438920790,Future Directions CIC,-,-,FUTURE DIRECTIONS CIC
1-1951605021,Steeple Bumpstead Surgery,N,Primary Medical Services,GP Practices,10 Bower Hall Drive,Steeple Bumpstead,Haverhill,CB9 7ED,Essex,East of England,E38000106,NHS Mid Essex CCG,07H,NHS West Essex CCG,"Families, children and young people",Overall,Inadequate,2019-05-21T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1951605021,1-168055209,Provide Community Interest Company,-,-,PROVIDE CIC
1-1047798942,Stepping Out,Y,Social Care Org,Residential social care,38 Hawthorn Road,Gorleston,Great Yarmouth,NR31 8ES,Norfolk,East of England,E38000063,NHS Great Yarmouth and Waveney CCG,NA,NA,Overall,Safe,Good,2017-08-31T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798942,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-287491271,Suffolk GP Federation C.I.C. - Head Office,N,Independent Healthcare Org,Out of hours,Riverside Clinic,2 Landseer Road,Ipswich,IP3 0AZ,Suffolk,East of England,E38000086,NHS Ipswich and East Suffolk CCG,NA,NA,Overall,Safe,Requires improvement,2019-03-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-287491271,1-140317426,Suffolk GP Federation C.I.C.,-,-,SUFFOLK GP FEDERATION CIC
1-520153601,Sunnyhill Healthcare C.I.C,N,Primary Medical Services,GP Practices,High Street,NA,Arlesey,SG15 6SN,Central Bedfordshire,East of England,E38000010,NHS Bedfordshire CCG,06F,NHS Bedfordshire CCG,"Families, children and young people",Overall,Good,2017-03-17T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-520153601,1-199790882,Sunnyhill Healthcare C.I.C,-,-,SUNNYHILL HEALTHCARE CIC
1-284529532,Sunshine Care (Rochdale) C.I.C.,N,Social Care Org,Community based adult social care services,501a Oldham Road,NA,Rochdale,OL16 4TF,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",NA,NA,Overall,Safe,Good,2017-05-20T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-284529532,1-119229201,Sunshine Care (Rochdale) C.I.C,-,-,SUNSHINE CARE (ROCHDALE) CIC
1-150119896,Support Horizons,N,Social Care Org,Community based adult social care services,3 The Courtyard,Denmark Street,Wokingham,RG40 2AZ,Wokingham,South East,E38000221,NHS Berkshire West CCG,NA,NA,Overall,Safe,Good,2018-02-17T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-150119896,1-125892596,Support Horizons Community Interest Company,-,-,SUPPORT HORIZONS CIC
1-2078059372,Supported Tenancy Network,N,Social Care Org,Community based adult social care services,Humphrey Booth Resource Ctr,"16-18 Worsley Road, Swinton",Manchester,M27 5WW,Salford,North West,E38000143,NHS Salford CCG,NA,NA,Overall,Safe,Good,2019-01-23T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2078059372,1-2024594488,Aspire: for Intelligent Care and Support C.I.C,-,-,ASPIRE: FOR INTELLIGENT CARE AND SUPPORT CIC
1-5199411401,Sussex Elderly Care Community Interest Company,N,Social Care Org,Community based adult social care services,9 Sutton Road,NA,Seaford,BN25 1RU,East Sussex,South East,E38000055,"NHS Eastbourne, Hailsham and Seaford CCG",NA,NA,Overall,Safe,Requires improvement,2019-06-26T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5199411401,1-4927322410,Sussex Elderly Care Community Interest Company,-,-,SUSSEX ELDERLY CARE CIC
1-2404661606,Tess CIC,N,Social Care Org,Community based adult social care services,192 Moulton Chapel Road,Moulton Chapel,Spalding,PE12 0XD,Lincolnshire,East Midlands,E38000157,NHS South Lincolnshire CCG,NA,NA,Overall,Safe,Good,2017-08-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2404661606,1-2373956593,"Training, Employment, Support Solutions CIC",-,-,"TRAINING, EMPLOYMENT, SUPPORT SOLUTIONS CIC"
1-638829433,The Gate Surgery,N,Primary Medical Services,GP Practices,Chatham Street,NA,Rotherham,S65 1DJ,Rotherham,Yorkshire and The Humber,E38000141,NHS Rotherham CCG,03L,NHS Rotherham CCG,"Families, children and young people",Overall,Outstanding,2017-06-22T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-638829433,1-199713520,Gateway Primary Care C.I.C.,-,-,GATEWAY PRIMARY CARE CIC
1-224033386,The Halow Care Agency,N,Social Care Org,Community based adult social care services,Carroll House,11 Quarry Street,Guildford,GU1 3UY,Surrey,South East,E38000214,NHS Guildford and Waverley CCG,NA,NA,Overall,Safe,Good,2019-01-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-224033386,1-119227828,Halow Care Community Interest Company,-,-,HALOW CARE CIC
1-495435929,The Hayes,N,Independent Healthcare Org,Mental health - community & hospital - independent,19 Newport Road,NA,Stafford,ST16 1BA,Staffordshire,West Midlands,E38000173,NHS Stafford and Surrounds CCG,NA,NA,Overall,Safe,Good,2019-09-10T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-495435929,1-207456449,Midlands Psychology C.I.C,-,-,MIDLANDS PSYCHOLOGY CIC
1-3764334943,The Kingsway Practice,N,Primary Medical Services,GP Practices,285A Kingsway,NA,Rochdale,OL16 4AT,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",01D,"NHS Heywood, Middleton and Rochdale CCG","Families, children and young people",Overall,Good,2018-11-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3764334943,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-4761023217,The Practice Bowling Green Street,N,Primary Medical Services,GP Practices,29-31 Bowling Green Street,NA,Leicester,LE1 6AS,Leicester,East Midlands,E38000097,NHS Leicester City CCG,04C,NHS Leicester City CCG,"Families, children and young people",Overall,Inadequate,2019-09-18T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4761023217,1-199800254,DHU Health Care C.I.C.,-,-,DHU HEALTH CARE CIC
1-2577106000,The Recovery Hub Ipswich,N,Independent Healthcare Org,Residential substance misuse,175 Felixstowe Road,NA,Ipswich,IP3 8EB,Suffolk,East of England,E38000086,NHS Ipswich and East Suffolk CCG,NA,NA,Overall,Safe,Requires improvement,2019-09-13T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2577106000,1-2501157873,The Recovery Hub Ipswich Community Interest Company,-,-,THE RECOVERY HUB IPSWICH CIC
1-2938912773,"The Surgery, Wheatley Hill",N,Primary Medical Services,Out of hours,Ashmore Terrace,Wheatley Hill,Durham,DH6 3NP,County Durham,North East,E38000047,"NHS Durham Dales, Easington and Sedgefield CCG",NA,NA,Overall,Safe,Good,2019-08-23T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2938912773,1-2920575718,South Durham Health C.I.C,-,-,SOUTH DURHAM HEALTH CIC
1-3045530277,The Village Medical Practice,N,Primary Medical Services,GP Practices,High Street,Shaw,Oldham,OL2 8ST,Oldham,North West,E38000135,NHS Oldham CCG,00Y,NHS Oldham CCG,"Families, children and young people",Overall,Good,2017-10-26T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3045530277,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-2067803872,The Windham Croft Centre,N,Social Care Org,Community based adult social care services,20 Windham Road,NA,Richmond,TW9 2HP,Richmond upon Thames,London,E38000140,NHS Richmond CCG,NA,NA,Overall,Safe,Good,2018-06-05T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2067803872,1-1864199043,Achieving for Children Community Interest Company,-,-,ACHIEVING FOR CHILDREN CIC
1-837507122,Thurrock Lifestyle Solutions,N,Social Care Org,Community based adult social care services,7th Floor,Thameside Complex,Grays,RM17 5DX,Thurrock,East of England,E38000185,NHS Thurrock CCG,NA,NA,Overall,Safe,Good,2019-02-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-837507122,1-752515750,Thurrock Lifestyle Solutions CIC,-,-,THURROCK LIFESTYLE SOLUTIONS CIC
1-3649654540,Tower Hamlets Out of Hours GP Service,N,Primary Medical Services,Out of hours,Whitechapel Rd,NA,London,E1 1BB,Tower Hamlets,London,E38000186,NHS Tower Hamlets CCG,NA,NA,Overall,Safe,Good,2018-12-07T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3649654540,1-2008331379,Tower Hamlets GP Care Group CIC,-,-,TOWER HAMLETS GP CARE GROUP CIC
1-154615700,Unit 14b - Day Lewis House,N,Social Care Org,Community based adult social care services,324-340 Bensham Lane,Thornton Heath,Croydon,CR7 7EQ,Croydon,London,E38000040,NHS Croydon CCG,NA,NA,Overall,Safe,Good,2018-10-27T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-154615700,1-131468988,Hillside Care Services Community Interest Company,-,-,HILLSIDE CARE SERVICES CIC
1-1885786175,Vision Beyond Autism,N,Social Care Org,Community based adult social care services,Flat 2,102a Water Lane,Wilmslow,SK9 5BB,Cheshire East,North West,E38000056,NHS Eastern Cheshire CCG,NA,NA,Overall,Safe,Good,2017-07-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1885786175,1-1607275226,Vision Beyond Autism CIC,-,-,VISION BEYOND AUTISM CIC
1-285686033,Walk in Centre,N,Independent Healthcare Org,Urgent care services & mobile doctors,Accident and Emergency Department,"Dewsbury And District Hospital, Halifax Road",Dewsbury,WF13 4HS,Kirklees,Yorkshire and The Humber,E38000121,NHS North Kirklees CCG,NA,NA,Overall,Safe,Good,2017-11-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-285686033,1-256729774,Locala Community Partnerships C.I.C.,BD329,BRAND Locala,LOCALA COMMUNITY PARTNERSHIPS CIC
1-3080822235,Walton Surgery,N,Primary Medical Services,GP Practices,301 High Street,NA,Felixstowe,IP11 9QL,Suffolk,East of England,E38000086,NHS Ipswich and East Suffolk CCG,06L,NHS Ipswich and East Suffolk CCG,"Families, children and young people",Overall,Good,2019-09-17T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3080822235,1-140317426,Suffolk GP Federation C.I.C.,-,-,SUFFOLK GP FEDERATION CIC
1-2997840225,Waterside Health Centre,N,Primary Medical Services,GP Practices,Infirmary Street,NA,Blackburn,BB2 3SF,Blackburn with Darwen,North West,E38000014,NHS Blackburn with Darwen CCG,00Q,NHS Blackburn with Darwen CCG,"Families, children and young people",Overall,Good,2017-11-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2997840225,1-199809610,Cornerstone Healthcare Community Interest Company,-,-,CORNERSTONE HEALTHCARE CIC
1-5050839118,Wellsbourne Health Centre,N,Primary Medical Services,GP Practices,179 Whitehawk Road,NA,Brighton,BN2 5FL,Brighton and Hove,South East,E38000021,NHS Brighton and Hove CCG,09D,NHS Brighton and Hove CCG,"Families, children and young people",Overall,Good,2019-06-11T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5050839118,1-4880800890,Wellsbourne Healthcare CIC,-,-,WELLSBOURNE HEALTHCARE CIC
1-4917825523,Wigan Integrated Sexual Health Service,N,Independent Healthcare Org,Community health - NHS & Independent,"8 Ashton Gallery, The Galleries",NA,Wigan,WN1 1AS,Wigan,North West,E38000205,NHS Wigan Borough CCG,NA,NA,Community health sexual health services,Safe,Good,2019-07-31T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4917825523,1-183173152,Spectrum Community Health C.I.C.,-,-,SPECTRUM COMMUNITY HEALTH CIC
1-508226257,Willow Bank Partnership Community Interest Company,N,Primary Medical Services,GP Practices,Meir Primary Care Centre,Weston Road,Stoke On Trent,ST3 6AB,Stoke-on-Trent,West Midlands,E38000175,NHS Stoke on Trent CCG,05W,NHS Stoke On Trent CCG,"Families, children and young people",Overall,Good,2016-11-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-508226257,1-285141884,Willow Bank Partnership Community Interest Company,-,-,WILLOW BANK PARTNERSHIP CIC
1-221575490,Wisdom Hospice,N,Independent Healthcare Org,Hospice services,High Bank,NA,Rochester,ME1 2NU,Medway,South East,E38000104,NHS Medway CCG,NA,NA,Overall,Safe,Good,2016-06-25T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-221575490,1-184500761,Medway Community Healthcare C.I.C,-,-,MEDWAY COMMUNITY HEALTHCARE CIC
1-1824371233,Woodbury,Y,Social Care Org,Residential social care,8 Kingsdowne Road,NA,Surbiton,KT6 6JZ,Kingston upon Thames,London,E38000090,NHS Kingston CCG,NA,NA,Overall,Safe,Good,2019-06-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1824371233,1-1632655813,Balance (Support) CIC,-,-,BALANCE (SUPPORT) CIC
1-1975223043,Woodfield 24 Care Services,N,Social Care Org,Community based adult social care services,"St Catherine's House, Woodfield Park","Tickhill Road, Balby",Doncaster,DN4 8QP,Doncaster,Yorkshire and The Humber,E38000044,NHS Doncaster CCG,NA,NA,Overall,Safe,Good,2018-05-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1975223043,1-1880897723,Flourish Enterprises Community Interest Company,-,-,FLOURISH ENTERPRISES CIC
1-1958383565,Woodleigh,Y,Social Care Org,Residential social care,Callands Road,Callands,Warrington,WA5 9RJ,Warrington,North West,E38000194,NHS Warrington CCG,NA,NA,Overall,Safe,Good,2019-08-23T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1958383565,1-1839748163,Catalyst Choices Community Interest Company,-,-,CATALYST CHOICES CIC
1-3705684815,York Street Health Practice,N,Primary Medical Services,GP Practices,68 York Street,NA,Leeds,LS9 8AA,Leeds,Yorkshire and The Humber,E38000225,NHS Leeds CCG,15F,NHS Leeds CCG,"Families, children and young people",Overall,Good,2018-11-20T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3705684815,1-199697065,Bevan Healthcare C.I.C.,-,-,BEVAN HEALTHCARE CIC
1-1482341731,You First Support Services CIC,N,Social Care Org,Community based adult social care services,The Great Bow Wharf,Bow Street,Langport,TA10 9PN,Somerset,South West,E38000150,NHS Somerset CCG,NA,NA,Overall,Safe,Good,2017-09-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1482341731,1-1338620944,You First Support Services CIC,-,-,YOU FIRST SUPPORT SERVICES CIC
1-3194940485,Yourhealthcare Community Interest Company,N,Social Care Org,Community based adult social care services,Hollyfield House,22 Hollyfield Road,Surbiton,KT5 9AL,Kingston upon Thames,London,E38000090,NHS Kingston CCG,NA,NA,Overall,Safe,Good,2017-02-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3194940485,1-328569033,Your Healthcare Community Interest Company,-,-,YOUR HEALTHCARE CIC
1-6644232483,i-HEART 365 Service - Extended Hours,N,Primary Medical Services,Out of hours,Woodland Drive,NA,Barnsley,S70 6QW,Barnsley,Yorkshire and The Humber,E38000006,NHS Barnsley CCG,NA,NA,Overall,Safe,Good,2019-01-17T00:00:00Z,Location,Y,http://www.cqc.org.uk/location/1-6644232483,1-6082596120,Barnsley Healthcare Federation CIC,-,-,BARNSLEY HEALTHCARE FEDERATION CIC
1-6644232206,i-HEART 365 Service - GP Streaming,N,Primary Medical Services,Out of hours,Gawber Road,NA,Barnsley,S75 2EP,Barnsley,Yorkshire and The Humber,E38000006,NHS Barnsley CCG,NA,NA,Overall,Safe,Good,2019-01-17T00:00:00Z,Location,Y,http://www.cqc.org.uk/location/1-6644232206,1-6082596120,Barnsley Healthcare Federation CIC,-,-,BARNSLEY HEALTHCARE FEDERATION CIC
1-6644232539,i-HEART 365 Service - Out of Hours Service,N,Primary Medical Services,Out of hours,Thornton Road,NA,Barnsley,S70 3NE,Barnsley,Yorkshire and The Humber,E38000006,NHS Barnsley CCG,NA,NA,Overall,Safe,Good,2019-01-17T00:00:00Z,Location,Y,http://www.cqc.org.uk/location/1-6644232539,1-6082596120,Barnsley Healthcare Federation CIC,-,-,BARNSLEY HEALTHCARE FEDERATION CIC
